time,concentration
136.6,2.1855257497437783
136.7,2.183252173592994
136.8,2.1809805022915585
136.9,2.1787107360632056
137.0,2.1764428751227656
137.1,2.1741769196762046
137.2,2.171912869920668
137.3,2.1696507260445186
137.4,2.167390488227383
137.5,2.165132156640187
137.6,2.1628757314452014
137.7,2.1606212127960798
137.8,2.1583686008379006
137.9,2.1561178957072062
138.0,2.1538690975320454
138.1,2.1516222064320103
138.2,2.14937722251828
138.3,2.1471341458936575
138.4,2.1448929766526112
138.5,2.142653714881313
138.6,2.140416360657679
138.7,2.1381809140514068
138.8,2.135947375124018
138.9,2.1337157439288923
139.0,2.1314860205113106
139.1,2.129258204908492
139.2,2.12703229714963
139.3,2.1248082972559352
139.4,2.1225862052406694
139.5,2.1203660211091866
139.6,2.1181477448589674
139.7,2.1159313764796615
139.8,2.1137169159531206
139.9,2.111504363253438
140.0,2.109293718346987
140.1,2.107084981192454
140.2,2.10487815174088
140.3,2.1026732299356947
140.4,2.100470215712754
140.5,2.098269109000377
140.6,2.09606990971938
140.7,2.0938726177831155
140.8,2.091677233097509
140.9,2.08948375556109
141.0,2.087292185065034
141.1,2.085102521493193
141.2,2.0829147647221347
141.3,2.0807289146211754
141.4,2.078544971052416
141.5,2.07636293387078
141.6,2.074182802924042
141.7,2.072004578052869
141.8,2.069828259090851
141.9,2.067653845864538
142.0,2.065481338193474
142.1,2.0633107358902274
142.2,2.061142038760432
142.3,2.0589752466028166
142.4,2.056810359209238
142.5,2.054647376364719
142.6,2.0524862978474774
142.7,2.050327123428962
142.8,2.048169852873887
142.9,2.0460144859402614
143.0,2.043861022379426
143.1,2.0417094619360836
143.2,2.0395598043483347
143.3,2.037412049347706
143.4,2.035266196659187
143.5,2.0331222460012612
143.6,2.030980197085936
143.7,2.02884004961878
143.8,2.0267018032989483
143.9,2.0245654578192203
144.0,2.0224310128660297
144.1,2.020298468119494
144.2,2.018167823253449
144.3,2.0160390779354787
144.4,2.013912231826947
144.5,2.0117872845830274
144.6,2.0096642358527377
144.7,2.0075430852789666
144.8,2.005423832498508
144.9,2.0033064771420888
145.0,2.001191018834401
145.1,1.9990774571941334
145.2,1.9969657918339996
145.3,1.994856022360768
145.4,1.9927481483752951
145.5,1.9906421694725507
145.6,1.9885380852416523
145.7,1.986435895265892
145.8,1.9843355991227674
145.9,1.98223719638401
146.0,1.9801406866156155
146.1,1.978046069377872
146.2,1.9759533442253916
146.3,1.9738625107071353
146.4,1.9717735683664461
146.5,1.9696865167410749
146.6,1.9676013553632103
146.7,1.9655180837595077
146.8,1.9634367014511154
146.9,1.9613572079537063
147.0,1.9592796027775035
147.1,1.9572038854273097
147.2,1.9551300554025344
147.3,1.9530581121972224
147.4,1.950988055300081
147.5,1.9489198841945077
147.6,1.946853598358619
147.7,1.9447891972652767
147.8,1.9427266803821135
147.9,1.940666047171564
148.0,1.9386072970908892
148.1,1.9365504295922045
148.2,1.934495444122505
148.3,1.932442340123695
148.4,1.9303911170326122
148.5,1.9283417742810558
148.6,1.926294311295812
148.7,1.924248727498681
148.8,1.9222050223065028
148.9,1.9201631951311833
149.0,1.9181232453797212
149.1,1.916085172454233
149.2,1.9140489757519792
149.3,1.912014654665389
149.4,1.9099822085820883
149.5,1.907951636884923
149.6,1.9059229389519856
149.7,1.9038961141566395
149.8,1.9018711618675455
149.9,1.8998480814486856
150.0,1.8978268722593885
150.1,1.895807533654356
150.2,1.893790064983685
150.3,1.8917744655928943
150.4,1.8897607348229482
150.5,1.8877488720102822
150.6,1.885738876486825
150.7,1.883730747580026
150.8,1.8817244846128776
150.9,1.8797200869039388
151.0,1.8777175537673607
151.1,1.8757168845129102
151.2,1.8737180784459921
151.3,1.8717211348676759
151.4,1.8697260530747155
151.5,1.867732832359576
151.6,1.8657414720104575
151.7,1.8637519713113144
151.8,1.8617643295418824
151.9,1.8597785459777014
152.0,1.857794619890136
152.1,1.8558125505464012
152.2,1.8538323372095844
152.3,1.851853979138668
152.4,1.8498774755885503
152.5,1.8479028258100727
152.6,1.8459300290500376
152.7,1.8439590845512333
152.8,1.8419899915524558
152.9,1.84002274928853
153.0,1.8380573569903342
153.1,1.83609381388482
153.2,1.8341321191950348
153.3,1.8321722721401439
153.4,1.830214271935453
153.5,1.8282581177924289
153.6,1.8263038089187202
153.7,1.8243513445181823
153.8,1.8224007237908946
153.9,1.820451945933185
154.0,1.8185050101376494
154.1,1.816559915593174
154.2,1.8146166614849548
154.3,1.812675246994521
154.4,1.8107356712997547
154.5,1.8087979335749096
154.6,1.8068620329906362
154.7,1.804927968713999
154.8,1.8029957399084986
154.9,1.8010653457340906
155.0,1.7991367853472087
155.1,1.7972100579007821
155.2,1.7952851625442592
155.3,1.7933620984236232
155.4,1.791440864681416
155.5,1.7895214604567573
155.6,1.7876038848853644
155.7,1.7856881370995699
155.8,1.7837742162283452
155.9,1.7818621213973174
156.0,1.7799518517287907
156.1,1.778043406341764
156.2,1.7761367843519518
156.3,1.7742319848718036
156.4,1.7723290070105222
156.5,1.770427849874083
156.6,1.7685285125652555
156.7,1.7666309941836176
156.8,1.76473529382558
156.9,1.7628414105844004
157.0,1.7609493435502057
157.1,1.7590590918100086
157.2,1.7571706544477275
157.3,1.7552840305442046
157.4,1.7533992191772245
157.5,1.7515162194215323
157.6,1.7496350303488524
157.7,1.747755651027906
157.8,1.7458780805244316
157.9,1.7440023179011994
158.0,1.7421283622180321
158.1,1.7402562125318235
158.2,1.7383858678965527
158.3,1.736517327363306
158.4,1.7346505899802926
158.5,1.7327856547928624
158.6,1.7309225208435233
158.7,1.729061187171961
158.8,1.727201652815053
158.9,1.7253439168068887
159.0,1.7234879781787855
159.1,1.721633835959306
159.2,1.7197814891742762
159.3,1.7179309368468012
159.4,1.7160821779972835
159.5,1.7142352116434396
159.6,1.7123900368003155
159.7,1.7105466524803061
159.8,1.7087050576931697
159.9,1.7068652514460465
160.0,1.705027232743473
160.1,1.7031910005874011
160.2,1.7013565539772126
160.3,1.699523891909737
160.4,1.6976930133792665
160.5,1.6958639173775734
160.6,1.6940366028939258
160.7,1.6922110689151029
160.8,1.690387314425414
160.9,1.6885653384067107
161.0,1.6867451398384057
161.1,1.6849267176974871
161.2,1.6831100709585352
161.3,1.681295198593737
161.4,1.6794820995729034
161.5,1.677670772863484
161.6,1.675861217430583
161.7,1.6740534322369727
161.8,1.672247416243113
161.9,1.670443168407163
162.0,1.6686406876849975
162.1,1.6668399730302241
162.2,1.6650410233941941
162.3,1.6632438377260221
162.4,1.6614484149725988
162.5,1.6596547540786053
162.6,1.6578628539865299
162.7,1.6560727136366824
162.8,1.6542843319672074
162.9,1.6524977079141006
163.0,1.6507128404112235
163.1,1.6489297283903168
163.2,1.6471483707810162
163.3,1.6453687665108658
163.4,1.6435909145053338
163.5,1.6418148136878254
163.6,1.6400404629796985
163.7,1.6382678613002766
163.8,1.636497007566864
163.9,1.6347279006947588
164.0,1.6329605395972693
164.1,1.6311949231857252
164.2,1.629431050369493
