Ketone transport,Ketone utilization,PMAS in e,GLU synaptic flux,PMAS in i,GAD67,GAD65,GT,GABA synaptic flux,Anaplerosis,GDH,GS,GLN uptake in e,GLN uptake in i,GLN efflux,CMRglc,CMRglc(ox)N,VPMAS,timestamp
-0.001566311017852597,0.02139396137529221,0.18020006809742267,0.17473370533907384,0.045531774384828805,0.036330459595900214,0.04582074152715086,0.036638374583920344,0.04581667832704406,0.06,0.0487644316312751,0.23188340949614616,0.18020006809742267,0.045531774384828805,0.013345824600345734,0.3942317936274456,0.2690631991507316,0.22573184248225148,178.56801146610815
-0.0013532309981654864,0.019320462607231886,0.18126807876310258,0.1757618553944741,0.045764571669312144,0.03641561819614148,0.04584007023742147,0.03653278244766552,0.0458375797874498,0.06,0.04865493413261996,0.23302735352013582,0.18126807876310258,0.045764571669312144,0.013235999530810328,0.3957627078964462,0.2701080481393245,0.22703265043241472,188.3642554633061
-0.0011599710874030734,0.017441493129331326,0.18223589194620954,0.1767814332037839,0.04597552862709782,0.03655764664860737,0.0458721424771434,0.03651518474145624,0.045861965567419456,0.06,0.04855425567851022,0.23418705320783229,0.18223589194620954,0.04597552862709782,0.013125819373377909,0.3971499964876159,0.2710548726027978,0.22821142057330734,198.09287364881675
-0.000984809423861322,0.015739844824217288,0.18311237114508458,0.17777923402356072,0.046166577259813824,0.03674595302925125,0.04591435101592075,0.036570540621226326,0.04590730948857384,0.06,0.04844767546831138,0.23531823202669838,0.18311237114508458,0.046166577259813824,0.013016912727640252,0.3984063645700318,0.2719123438190467,0.2292789484048984,207.76919376142177
-0.0008259046845793044,0.014197246393597113,0.1839069274776667,0.17874708603256728,0.046339768935269976,0.036971087186205655,0.04596435041482389,0.036685261366270386,0.04595063116629142,0.06,0.0483522647284434,0.23643831818667327,0.1839069274776667,0.046339768935269976,0.012910234594757328,0.3995453022849471,0.2726896688094764,0.23024669641293669,217.4207924223956
-0.0006815652333935964,0.01279696437903948,0.18462817995658973,0.1796797459220473,0.04649698236385804,0.0372249337904237,0.04602012928546877,0.036847666258120394,0.04601026367906309,0.06,0.048252368289004026,0.23751087493214265,0.18462817995658973,0.04649698236385804,0.012806640675989873,0.4005791643492668,0.27339527966837457,0.23112516232044777,227.07720359071573
-0.0005505935009987422,0.011527124839285634,0.18528224457097478,0.18057178981237265,0.046639550664904494,0.03749999321328285,0.04607986664268619,0.037047425986882127,0.04606438473605368,0.06,0.04816476427316267,0.2385562299510044,0.18528224457097478,0.046639550664904494,0.012706828854564737,0.40151671758088453,0.2740351597489537,0.23192179523587927,236.7443228690372
-0.0004318620564750923,0.010376584067623627,0.18587486118322577,0.1814195697158347,0.046768724972338895,0.03778983325622383,0.046142037342177554,0.037275664582341134,0.04613098743064714,0.06,0.04807423441797439,0.23954057891424463,0.18587486118322577,0.046768724972338895,0.012611497171029358,0.40236618964787396,0.27461492443467395,0.23264358615556466,246.42737933902572
-0.00032451402387394793,0.009336861123490088,0.18641039812725085,0.1822193715529804,0.04688545746417238,0.03808847894461068,0.04620527875421175,0.037524405312063,0.046189202236679036,0.06,0.04799730402163022,0.24048635846453253,0.18641039812725085,0.04688545746417238,0.012521150373513932,0.40313384223368687,0.2751388473244913,0.23329585559142324,256.1123923712603
-0.00022753201158790635,0.008397954255796564,0.1868940070708505,0.18297025333850248,0.04699087106390472,0.03839141699058318,0.04626859709527225,0.03778731919524017,0.04625745938293606,0.06,0.0479183664247861,0.24136288384513654,0.1868940070708505,0.04699087106390472,0.012436165153799294,0.40382705987295237,0.27561196836329,0.23388487813475523,265.8016211130471
